flag_URL,host_country,event,year,artist_country,artist,song,rank,total_points
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Stockholm ,1975,Italy,Wess and Dori Ghezzi,Era,3,115
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Brighton ,1974,Italy,Gigliola Cinquetti,Si,2,18
https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Denmark,Copenhagen ,1964,Italy,Gigliola Cinquetti,Non Ho L'étà,1,49
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,London ,1963,Italy,Emilio Pericoli,Uno Per Tutte,3,37
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,Hilversum ,1958,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,3,13
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Italy,Tonina Torielli,Amami Se Vuoi,2,NA
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Italy,Franca Raimondi,Aprite Le Finestre,2,NA
https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,Estonia,Tallinn ,2002,Latvia,Marie N,I Wanna,1,176
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Stockholm ,2000,Latvia,BrainStorm,My Star,3,136
https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,Norway,Bergen ,1986,Luxembourg,Sherisse Laurence,L'amour De Ma Vie,3,117
https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany,Munich ,1983,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,1,142
https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxembourg,Luxembourg ,1973,Luxembourg,Anne-Marie David,Tu Te Reconnaîtras,1,129
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Edinburgh ,1972,Luxembourg,Vicky Leandros,Après Toi,1,128
https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Italy,Naples ,1965,Luxembourg,France Gall,"Poupée De Cire, Poupée De Son",1,32
https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxembourg,Luxembourg ,1962,Luxembourg,Camillo Felgen,Petit Bonhomme,3,11
https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,France,Cannes ,1961,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,1,31
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Luxembourg,Michèle Arnaud,Les Amants De Minuit,2,NA
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Luxembourg,Michèle Arnaud,Ne Crois Pas,2,NA
https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,Ukraine,Kyiv ,2005,Malta,Chiara,Angel,2,192
https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,Estonia,Tallinn ,2002,Malta,Ira Losco,7th Wonder,2,164
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Birmingham ,1998,Malta,Chiara,The One That I Love,3,165
